Sub-Category,Total_Sales,Avg_Sales_per_Order,Order_Count,Unique_Orders
Phones,327782.45,374.18,876,803
Chairs,322822.73,531.83,607,566
Storage,219343.39,263.63,832,764
Tables,202810.63,645.89,314,302
Binders,200028.78,134.07,1492,1291
Machines,189238.63,1645.55,115,112
Accessories,164186.7,217.18,756,702
Copiers,146248.09,2215.88,66,66
Bookcases,113813.2,503.6,226,222
Appliances,104618.4,227.93,459,444
Furnishings,89212.02,95.82,931,855
Paper,76828.3,57.42,1338,1163
Supplies,46420.31,252.28,184,181
Art,26705.41,34.02,785,720
Envelopes,16128.05,65.03,248,243
Labels,12347.73,34.59,357,340
Fasteners,3001.96,14.03,214,212
